Name,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PTS
Dwight Howard,C,71,71,2396,473,800,2,7,471,793,349,638,231,635,866,131,60,128,1297
Joakim Noah,C,80,80,2820,380,800,0,2,380,798,247,335,282,618,900,431,99,121,1007
Chris Bosh,C,79,79,2531,492,953,74,218,418,735,223,272,98,424,522,87,80,78,1281
AI Jefferson,C,73,73,2553,700,1376,3,15,697,1361,191,277,156,636,792,155,67,79,1594
Marc Gasol,C,59,59,1970,336,711,2,11,334,700,185,241,84,340,424,215,59,76,859
DeAndre Jordan,C,82,82,2870,348,515,0,0,348,515,160,374,331,783,1114,74,80,203,856
Marcin Gortat,C,81,80,2655,455,840,1,1,454,839,157,229,202,565,767,138,41,121,1068
Jonas Valanciunas,C,81,81,2282,359,676,0,1,359,675,198,260,226,488,714,57,24,71,916
Nikola Pekovic,C,54,54,1663,379,701,0,0,379,701,186,249,206,262,468,50,30,23,944
Timofey Mozgov,C,82,30,1770,285,545,4,24,281,521,196,260,171,357,528,62,27,100,770
Roy Hibbert,C,81,81,2409,331,754,2,5,329,749,207,269,202,336,538,91,29,182,871
Tyson Chandler,C,55,55,1662,191,322,0,1,191,321,98,155,159,370,529,59,36,63,480
Andrew Bogut,C,67,67,1769,235,375,0,0,235,375,22,64,182,489,671,112,47,121,492
Anderson Varejao,C,65,29,1800,227,459,0,7,227,452,92,135,187,442,629,140,69,39,546
Tiago Splitter,C,59,50,1271,181,346,0,3,181,343,121,173,123,240,363,90,29,31,483
Omer Asik,C,48,19,968,101,190,0,0,101,190,78,126,101,277,378,25,14,37,280
Robin Lopez,C,82,82,2603,355,644,0,1,355,643,198,242,326,374,700,73,25,139,908
Miles Plumlee,C,80,79,1964,286,553,0,0,286,553,74,132,198,428,626,43,50,90,646
Pero Antic,C,50,26,925,123,294,56,171,67,123,50,66,57,152,209,58,19,12,352
Kendrick PerKins,C,62,62,1207,87,193,0,1,87,192,37,67,82,223,305,67,26,32,211
Blake Griffin,PF,80,80,2863,718,1359,12,44,706,1315,482,674,192,565,757,309,92,51,1930
LaMarcus Aldridge,PF,69,69,2498,652,1423,3,15,649,1408,296,360,166,599,765,178,63,68,1603
Kevin Love,PF,77,77,2797,650,1421,190,505,460,916,520,633,224,739,963,341,59,35,2010
Tim Duncan,PF,74,74,2158,444,906,0,5,444,901,231,316,158,563,721,220,43,139,1119
Al Horford,PF,29,29,958,238,420,4,11,234,409,58,85,66,178,244,76,27,44,538
David Lee,PF,69,67,2288,513,981,0,1,513,980,231,296,182,461,643,147,48,26,1257
Drik Nowitzki,PF,80,80,2628,633,1273,131,329,502,944,338,376,40,458,498,216,73,45,1735
Zach Randolph,PF,79,79,2705,560,1198,2,20,558,1178,250,337,265,530,795,200,54,23,1372
Serge Ibaka,PF,81,81,2666,524,978,23,60,501,918,156,199,224,485,709,85,39,219,1227
Paul Millsap,PF,74,73,2482,483,1047,76,212,407,835,286,391,154,473,627,232,129,78,1328
David West,PF,80,80,2472,458,939,4,15,454,924,198,251,120,422,542,223,61,74,1118
Nene,PF,53,37,1560,299,594,1,5,298,589,155,266,65,229,294,153,64,47,754
Taj Gibson,PF,82,8,2351,429,896,0,7,429,889,211,281,200,358,558,91,41,112,1069
Terrence Jones,PF,76,71,2078,386,712,31,101,355,611,118,195,162,366,528,87,53,99,921
Amir Johnson,PF,77,72,2214,344,612,20,66,324,546,91,143,172,333,505,115,56,88,799
Markieff Morris,PF,81,0,2153,411,845,34,108,377,737,259,327,139,346,485,144,68,51,1115
Channing Frye,PF,82,82,2312,336,778,160,432,176,346,78,95,73,343,416,98,60,63,910
Boris Diaw,PF,79,24,1974,302,580,45,112,257,468,68,92,74,252,326,222,44,32,717
Brandan Wright,PF,58,0,1077,224,331,0,0,224,331,77,106,102,142,244,31,32,55,525
Chris Andersen,PF,72,0,1396,177,275,3,12,174,263,120,169,129,250,379,19,32,97,477
LeBron James,SF,77,77,2902,767,1353,116,306,651,1047,439,585,81,452,533,488,121,26,2089
Kevin Durant,SF,81,81,3122,849,1688,192,491,657,1197,703,805,58,540,598,445,103,59,2593
Carmelo Anthony,SF,77,77,2982,743,1643,167,415,576,1228,459,541,145,477,622,242,95,51,2112
Nicolas Batum,SF,82,82,2956,381,819,145,402,236,417,163,203,116,495,611,420,75,57,1070
Andre Iguodala,SF,63,63,2040,220,458,62,175,158,283,86,132,53,240,293,263,95,18,588
Kawhi Leonard,SF,66,65,1923,337,645,69,182,268,463,101,126,76,336,412,133,114,50,844
Chandler Parsons,SF,74,74,2783,466,987,130,351,336,636,164,221,69,340,409,298,88,29,1226
Luol Deng,SF,63,63,2213,371,860,57,189,314,671,212,268,99,262,361,183,62,9,1011
Paul Pierce,SF,75,68,2098,321,712,112,300,209,412,256,310,26,322,348,178,86,31,1010
Terrence Ross,SF,81,62,2159,318,751,161,408,157,343,82,98,43,209,252,79,64,27,879
Trevor Ariza,SF,77,77,2723,389,853,180,442,209,411,149,193,99,376,475,191,126,20,1107
PJ Tucker,SF,81,81,2490,265,615,74,191,191,424,156,201,161,368,529,141,110,23,760
Corey Brewer,SF,81,81,2609,388,807,59,211,329,596,163,227,63,144,207,135,151,30,998
Matt Barnes,SF,63,40,1735,231,527,97,283,134,244,66,90,60,232,292,125,56,28,625
Michael Kidd-Gilchrist,SF,62,62,1502,167,353,1,9,166,344,113,184,109,215,324,52,43,39,448
Tayshaun Prince,SF,76,76,1948,200,492,20,69,180,423,34,60,32,202,234,119,39,19,454
Rudy Gay,SF,73,73,2531,537,1179,65,197,472,982,318,387,113,324,437,209,95,56,1457
Paul George,SF,80,80,2898,577,1362,182,500,395,862,401,464,64,478,542,283,151,22,1737
Isaiah Thomas,SF,72,54,2497,496,1096,127,364,369,732,346,407,47,163,210,454,93,8,1465
josh smith,SF,77,76,2730,517,1233,70,265,447,968,160,301,102,418,520,252,105,110,1264
Chris Paul,PG,62,62,2171,406,870,78,212,328,658,295,345,38,230,268,663,154,4,1185
Stephen Curry,PG,78,78,2846,652,1383,261,615,391,768,308,348,46,288,334,666,128,14,1873
Patrick Beverley,PG,56,55,1751,199,481,92,255,107,226,83,102,72,124,196,151,77,23,573
Russell Westbrook,PG,46,46,1412,346,791,68,214,278,577,242,293,55,208,263,319,88,7,1002
Ricky Rubio,PG,82,82,2638,255,670,44,133,211,537,227,283,61,281,342,704,191,11,781
Damian Lillard,PG,82,82,2937,553,1304,218,554,335,750,371,426,35,253,288,457,64,22,1695
Mario Chalmers,PG,73,73,2178,254,560,87,226,167,334,121,163,41,173,214,357,119,16,716
George Hill,PG,76,76,2434,272,616,95,260,177,356,142,176,53,230,283,265,75,23,781
Goran Dragic,PG,76,75,2668,552,1093,122,299,430,794,316,416,69,176,245,447,104,22,1542
Tony Parker,PG,68,68,1997,456,914,25,67,431,847,197,243,17,138,155,388,36,9,1134
Kyle Lowry,PG,79,79,2862,457,1080,190,500,267,580,313,385,88,281,369,586,121,15,1417
Deron Williams,PG,64,58,2059,322,716,98,268,224,448,173,216,15,153,168,392,93,13,915
John Wall,PG,82,82,2980,579,1337,108,308,471,1029,317,394,38,295,333,721,149,40,1583
Jeremy Lin,PG,71,33,2054,295,662,82,229,213,433,218,265,34,153,187,294,68,27,890
Mike Conley,PG,73,73,2446,463,1030,105,291,358,739,225,276,41,172,213,441,110,13,1256
krik Hinrich,PG,73,61,2116,243,619,85,242,158,377,95,125,31,161,192,286,80,26,666
Kemba Walker,PG,73,73,2614,449,1143,109,327,340,816,282,337,39,267,306,447,86,32,1289
Jeff Teague,PG,79,79,2542,456,1040,74,225,382,815,318,376,34,174,208,528,89,17,1304
Jrue Holiday,PG,34,34,1143,203,454,30,77,173,377,51,63,28,114,142,268,56,12,487
Raymond Felton,PG,65,65,2017,240,608,62,195,178,413,88,122,54,143,197,365,78,27,630
James Harden,SG,73,73,2777,549,1205,177,483,372,722,576,665,61,283,344,446,115,29,1851
DeMar DeRozan,SG,79,79,3017,604,1407,64,210,540,1197,519,630,51,292,343,313,86,28,1791
Dwyane Wade,SG,54,53,1775,415,761,9,32,406,729,189,258,60,181,241,252,79,29,1028
Monta Ellis,SG,82,82,3023,576,1278,69,209,507,1069,339,430,38,257,295,471,141,23,1560
Klay Thompson,SG,81,81,2868,559,1259,223,535,336,724,147,185,38,211,249,181,74,37,1488
Eric Bledsoe,SG,43,40,1416,265,556,50,140,215,416,183,237,27,175,202,235,69,14,763
Joe Johnson,SG,79,79,2575,462,1018,162,404,300,614,159,195,48,222,270,216,47,10,1245
Lance Stephenson,SG,78,78,2752,427,870,86,244,341,626,140,197,95,463,558,359,54,7,1080
Bradley Beal,SG,73,73,2530,481,1149,138,343,343,806,149,189,54,219,273,243,71,18,1249
Manu Ginobili,SG,68,3,1550,294,627,90,258,204,369,160,188,30,172,202,293,70,17,838
Kevin Martin,SG,68,68,2177,440,1023,115,297,325,726,303,340,34,169,203,121,66,6,1298
Wesley Matthews,SG,82,82,2780,445,1009,201,511,244,498,252,301,51,238,289,197,76,14,1343
JJ Redick,SG,35,34,987,181,398,73,185,108,213,97,106,9,65,74,78,28,3,532
Tony Allen ,SG,55,28,1278,204,413,11,47,193,366,76,121,79,129,208,94,90,19,495
Jimmy Butler,SG,67,67,2591,275,693,68,240,207,453,260,338,87,243,330,175,127,36,878
Kobe Bryant,SG,78,78,3013,738,1595,132,407,606,1188,525,626,66,367,433,469,106,25,2133
Vince Carter,SG,81,0,1973,330,811,146,371,184,440,161,196,67,217,284,212,61,35,967
Aaron Afflalo,SG,73,73,2552,464,1011,128,300,336,711,274,336,32,230,262,248,35,3,1330
Courthey Lee,SG,79,47,1973,295,614,72,194,223,420,99,112,29,158,187,115,65,28,761
Jamal Crawford,SG,69,24,2094,421,1011,161,446,260,565,279,322,34,124,158,223,59,12,1282
